item_id,name,cost,item_link
1,Flour,2.6,https://example.com/flour
2,Sugar,1,https://example.com/sugar
3,Butter,3,https://example.com/butter
4,Eggs,2,https://example.com/eggs
5,Milk,2,https://example.com/milk
6,Salt,1,https://example.com/salt
7,Pepper,2,https://example.com/pepper
8,Olive Oil,5,https://example.com/olive-oil
9,Garlic,1,https://example.com/garlic
10,Onion,1,https://example.com/onion
11,Tomato,2,https://example.com/tomato
12,Chicken,5,https://example.com/chicken
13,Beef,7,https://example.com/beef
14,Pork,6,https://example.com/pork
15,Fish,8,https://example.com/fish
16,Cheese,4,https://example.com/cheese
17,Yogurt,3,https://example.com/yogurt
18,Bread,2,https://example.com/bread
19,Rice,1,https://example.com/rice
20,Pasta,1,https://example.com/pasta
21,Spinach,2,https://example.com/spinach
22,Broccoli,2,https://example.com/broccoli
23,Carrot,1,https://example.com/carrot
24,Potato,1,https://example.com/potato
25,Apple,1,https://example.com/apple
26,Banana,1,https://example.com/banana
27,Orange,1,https://example.com/orange
28,Lemon,1,https://example.com/lemon
29,Strawberry,3,https://example.com/strawberry
30,Blueberry,4,https://example.com/blueberry
31,Almond,6,https://example.com/almond
32,Walnut,7,https://example.com/walnut
33,Cashew,8,https://example.com/cashew
34,Peanut,3,https://example.com/peanut
35,Hazelnut,9,https://example.com/hazelnut
36,Basil,1,https://example.com/basil
37,Oregano,1,https://example.com/oregano
38,Thyme,1,https://example.com/thyme
39,Rosemary,1,https://example.com/rosemary
40,Mint,1,https://example.com/mint
41,Lasagna Noodles,3,https://example.com/lasagna-noodles
42,Ground Beef,7,https://example.com/ground-beef
43,Tomato Sauce,2,https://example.com/tomato-sauce
44,Ricotta Cheese,4,https://example.com/ricotta-cheese
45,Parmesan Cheese,5,https://example.com/parmesan-cheese
46,Mozzarella Cheese,4,https://example.com/mozzarella-cheese
47,Italian Sausage,6,https://example.com/italian-sausage
48,Pasta,1,https://example.com/pasta
49,Tomato Paste,1,https://example.com/tomato-paste
50,Basil,1,https://example.com/basil
51,Burger Buns,2,https://example.com/burger-buns
52,Lettuce,1,https://example.com/lettuce
53,Tomato,2,https://example.com/tomato
54,Pickles,2,https://example.com/pickles
55,Cheddar Cheese,3,https://example.com/cheddar-cheese
56,Ketchup,1,https://example.com/ketchup
57,Mustard,1,https://example.com/mustard
58,Chili Powder,2,https://example.com/chili-powder
59,Cumin,1,https://example.com/cumin
60,Paprika,2,https://example.com/paprika
61,Coriander,2,https://example.com/coriander
62,Cinnamon,1,https://example.com/cinnamon
63,Nutmeg,2,https://example.com/nutmeg
64,Ginger,1,https://example.com/ginger
65,Turmeric,1,https://example.com/turmeric
66,Vanilla Extract,3,https://example.com/vanilla-extract
67,Baking Powder,1,https://example.com/baking-powder
68,Baking Soda,1,https://example.com/baking-soda
69,Cornstarch,1,https://example.com/cornstarch
70,Cocoa Powder,2,https://example.com/cocoa-powder
71,Honey,3,https://example.com/honey
72,Maple Syrup,4,https://example.com/maple-syrup
73,Soy Sauce,2,https://example.com/soy-sauce
74,Worcestershire Sauce,3,https://example.com/worcestershire-sauce
75,Hot Sauce,2,https://example.com/hot-sauce
76,Vinegar,1,https://example.com/vinegar
77,Balsamic Vinegar,3,https://example.com/balsamic-vinegar
78,Sesame Oil,4,https://example.com/sesame-oil
79,Coconut Oil,5,https://example.com/coconut-oil
80,Canola Oil,2,https://example.com/canola-oil
81,Avocado Oil,6,https://example.com/avocado-oil
82,Beef Broth,2,https://example.com/beef-broth
83,Chicken Broth,2,https://example.com/chicken-broth
84,Vegetable Broth,2,https://example.com/vegetable-broth
85,Almond Milk,3,https://example.com/almond-milk
86,Coconut Milk,3,https://example.com/coconut-milk
87,Oat Milk,3,https://example.com/oat-milk
88,Heavy Cream,3,https://example.com/heavy-cream
89,Sour Cream,2,https://example.com/sour-cream
90,Cream Cheese,3,https://example.com/cream-cheese
91,Cottage Cheese,2,https://example.com/cottage-cheese
92,Feta Cheese,3,https://example.com/feta-cheese
93,Goat Cheese,4,https://example.com/goat-cheese
94,Blue Cheese,5,https://example.com/blue-cheese
95,Pecorino Cheese,4,https://example.com/pecorino-cheese
96,Gorgonzola Cheese,5,https://example.com/gorgonzola-cheese
97,Gruyere Cheese,6,https://example.com/gruyere-cheese
